Feldname;Werteliste;Zugehörigkeit DIVI-MIND;Felder betreffen nur Baden-Württemberg;In FHIR umgesetzt?;Anmerkung zur Umsetzung
SpezMassn;"Spezielle Maßnahmen
-1 = keine speziellen Maßnahmen durchgeführt 01 = Kühlung lokal
02 = Kühlung systemisch 03 = Wärmemanagement
04 = Entbindung
05 = Neugeborenenversorgung
06 = Krisenintervention
07 = Kardioversion
08 = Notfallnarkose
09 = Tourniquet
10 = Hämostyptica
11 = Thoraxdrainage/Entlastungspunktion
12 = Thorakotomie
13 = REBOA (resuscitative endovascular balloon occlusion of the aorta) 98 = Sonstige";DM;;T;Terminologie definiert: mind-spezielle-massnahme-cs und MindSpezielleMassnahmeVS. Noch kein Profil.
EKG12Kanal;"12-Kanal-EKG
-1 = kein 12-Kanal-EKG durchgeführt 01 = durch eigenes RM vor Ort
02 = durch Andere
03 = telemetrische Übermittlung an Zielklinik 04 = nicht durchführbar";DM;;T;Terminologie definiert: mind-ekg-12-kanal-cs und MindEkg12KanalVS. Noch kein Profil.
Medizintechnik;"Medizintechnik
-1 = keine Medizintechnik eingesetzt 01 = invasive RR-Messung
02 = ZVD
03 = ICP
04 = Ultraschall (Sono/Echo) 05 = Notfallpacer
06 = Spritzenpumpe(n)
07 = Videolaryngoskopie
08 = Transportinkubator
98 = Sonstige";DM;;T;Terminologie definiert: mind-medizintechnik-cs und MindMedizintechnikVS. Noch kein Profil.
LagTrans;"Lagerungs- und Rettungstechnik
-1 = keine Lagerungs- und Rettungstechnik 01 = OK Hochlagerung
02 = Flachlagerung
03 = Schocklagerung 04 = stabile Seitenlage
05 = sitzender Transport
06 = Cervicalstütze/HWS-Immobilisation
07 = Spineboard
08 = Schaufeltrage
09 = Vakuummatratze
10 = (Extremitäten-)Schienung
11 = Reposition
12 = Verband
13 = Beckenschlinge
98 = Sonstige";DM;;T;Terminologie definiert: mind-lagerungs-rettungstechnik-cs und MindLagerungsRettungstechnikVS. Noch kein Profil.
DurchfHeilkundlMassn;"Eigenständig oder eigenverantwortlich durchgeführte heilkundliche Maßnahmen durch Notfallsanitäterinnen/Notfallsanitäter
01 = ja, Medikamentengabe 02 = ja, Maßnahmen
03 = nein";DM;;T;Terminologie definiert: mind-heilkundliche-massnahme-cs und MindHeilkundlicheMassnahmeVS. Noch kein Profil.
Behandlungspfad;diese Codes sind bundesland- und/oder regionalspezifisch;DM;;;
Medikamentengabe;"Erläuterung Applikationsformen: iv=intravenös, io=intraossär, im=intramuskulär, sc=subcutan, nl=intranasal, ih=inhalativ,
po=oral, sl=sublingual/buccal, rl=rectal, td=transdermal";DM;;T;Terminologie vollständig definiert: mind-medikamentengabe-cs (alle Medikamentengruppen inkl. Zusatzkennung Applikationsart io/iv/sc und nn97xx Dauermedikation) sowie MindMedikamentengabeVS. Noch kein Profil. Hinweis: Urapidil #1509io und Thrombolytika #2601-2603 gemäß Spez-TODO.
;"Analgetika
Fentanyl: 1001iv, 1001io, 1001im, 1001sc, 1001nl, 1001sl, 1001td Morphin: 1002iv, 1002io, 1002im, 1002sc, 1002nl, 1002po, 1002td Piritramid: 1003iv, 1003io, 1003im, 1003sc
Sufentanil: 1004iv, 1004io, 1004nl, 1004sl
anderes Opioid: 1005iv, 1005io, 1005im, 1005sc, 1005nl, 1005po, 1005sl, 1005rl, 1005td Metamizol: 1006iv, 1006io, 1006po
Paracetamol: 1007iv, 1007io, 1007po, 1007rl Oxycodon: 1008iv, 1008io, 1008sc, 1008po, 1008sl
Ketamin/Esketamin: 1009iv, 1009io, 1009im, 1009sc, 1009nl, 1009ih, 1009rl NSAID (z.B. Ibuprofen, Diclofenac): 1010iv, 1010io, 1010po, 1010rl Lokalanästhetikum (z.B. Lidocain): 1011sc, 1011td
vorbehandelt mit Analgetika (sämtliche Applikationsformen): 1097xx
sonstiges Analgetikum: 1098iv, 1098io, 1098im, 1098sc, 1098nl, 1098ih, 1098po, 1098sl, 1098rl, 1098td";DM;;T;
;"Antiarrhythmika
Betablocker: 1101iv, 1101io, 1101po Amiodaron: 1102iv, 1102io, 1102po Adenosin: 1103iv, 1103io
Atropin: 1104iv, 1104io Verapamil: 1105iv, 1105io 1105po Ajmalin: 1106iv, 1106io Digitalisglykosid: 1107iv, 1107io Lidocain: 1108iv, 1108io
vorbehandelt mit Antiarrhythmika (sämtliche Applikationsformen): 1197xx
sonstiges Antiarrhythmikum: 1198iv, 1198io, 1198im, 1198sc, 1198nl, 1198ih, 1198po, 1198sl, 1198rl, 1198td";DM;;T;
;"Antidota
Flumazenil: 1201iv, 1201io, 1201nl Carbo medicinalis (Kohle): 1202po
Naloxon: 1203iv, 1203io, 1203im, 1203sc, 1203nl Physostigmin: 1204iv, 1204io
Atropin (als Antidot):1205iv, 1205io Obidoxim: 1206iv, 1206io Hydroxocobalamin: 1207iv, 1207io Natriumthiosulfat: 1208iv, 1208io
4-Dimethylaminophenol (4-DMAP): 1209iv, 1209io Toloniumchlorid (Toluidinblau):1210iv, 1210 io Methylthioniniumchlorid (Methylenblau): 1211iv, 1211io vorbehandelt mit Antidota (sämtliche Applikationsformen): 1297xx
sonstiges Antidot: 1298iv, 1298io, 1298im, 1298sc, 1298nl, 1298ih, 1298po, 1298sl, 1298rl, 1298td";DM;;T;
;"Antiemetika
Dimenhydrinat: 1301iv, 1301io, 1301po, 1301rl Metoclopramid: 1302iv, 1302io, 1302po
5HT3 Antagonist (z. B. Ondansetron):1303iv, 1303io, 1303po, 1303rl vorbehandelt mit Antiemetika (sämtliche Applikationsformen): 1397xx
sonstiges Antiemetikum: 1398iv, 1398io, 1398im, 1398sc, 1398nl, 1398ih, 1398po, 1398sl, 1398rl, 1398td";DM;;T;
;"Sedativa/Antiepileptika Clonazepam: 1401iv, 1401io
Diazepam: 1402iv, 1402io, 1402im, 1402sc, 1402po, 1402sl, 1402nl, 1402rl Lorazepam: 1403iv, 1403io, 1403im, 1403sc, 1403po, 1403sl, 1403nl, 1403rl Midazolam: 1404iv, 1404io, 1404im, 1404sc, 1404po, 1404sl, 1404nl, 1404rl Phenytoin: 1405iv, 1405io
Levetiracetam: 1406iv, 1406io
vorbehandelt mit Sedativa/Antiepileptika (sämtliche Applikationsformen): 1497xx
sonstiges Sedativum/Antiepileptikum: 1498iv, 1498io, 1498im, 1498sc, 1498nl, 1498ih, 1498po, 1498sl, 1498rl, 1498td";DM;;T;
;"Antihypertensiva/Vasodilatantien Urapidil: 1501iv, 1509io Glyceroltrinitrat: 1502iv, 1502io, 1502sl Clonidin: 1503iv, 1503io, 1503po
vorbehandelt mit Antihypertensiva/Vasodilatantien (sämtliche Applikationsformen): 1597xx
sonstiges Antihypertensivum/Vasodilatans: 1598iv, 1598io, 1598im, 1598sc, 1598nl, 1598ih, 1598po, 1598sl, 1598rl, 1598td";DM;;T;
;"Bronchodilatantien
Salbutamol: 1601iv, 1601io, 1601ih Reproterol: 1602iv, 1602io, 1602ih
Ipratropiumbromid: 1603iv, 1603io, 1603im, 1603sc, 1603ih Theophyllin: 1604iv, 1604io, 1604po
vorbehandelt mit Brochodilatantien (sämtliche Applikationsformen): 1697xx
sonstiges Bronchodilatans: 1698iv, 1698io, 1698im, 1698sc, 1698nl, 1698ih, 1698po, 1698sl, 1698rl, 1698td";DM;;T;
;"Diuretika
Furosemid: 1701iv, 1701io
vorbehandelt mit Diuretika (sämtliche Applikationsformen): 1797xx
sonstiges Diuretikum: 1798iv, 1798io, 1798im, 1798sc, 1798nl, 1798ih, 1798po, 1798sl, 1798rl, 1798td";DM;;T;
;"Katecholamine/Vasopressoren
Epinephrin: 1801iv, 1801io, 1801im, 1801sc, 1801nl, 1801ih Norepinephrin: 1802iv, 1802io
Cafedrin/Theoadrenalin: 1803iv, 1803io Dobutamin: 1804iv, 1804io Vasopressin: 1805iv, 1805io
vorbehandelt mit Katecholaminen (sämtliche Applikationsformen): 1897xx
sonstige Katecholamine: 1898iv, 1898io, 1898im, 1898sc, 1898nl, 1898ih, 1898po, 1898sl, 1898rl, 1898td";DM;;T;
;"Kortikosteroide
Dexametason: 1901iv, 1901io, 1901ih
Methyl-/Prednisolon: 1902iv, 1902io, 1902ih, 1902rl
vorbehandelt mit Kortikosteroiden (sämtliche Applikationsformen): 1997xx
sonstiges Corticoid :1998iv, 1998io, 1998im, 1998sc, 1998nl, 1998ih, 1998po, 1998sl, 1998rl, 1998td";DM;;T;
;"Muskelrelaxantien
Suxamethonium: 2001iv, 2001io, 2001im Rocuronium 2002iv, 2002io
vorbehandelt mit Muskelrelaxantien (sämtliche Applikationsformen): 2097xx
sonstiges Muskelrelaxans: 2098iv, 2098io, 2098im, 2098sc, 2098nl, 2098ih, 2098po, 2098sl, 2098rl, 2098td";DM;;T;
;"Narkotika
Etomidat: 2101iv, 2101io Propofol: 2102iv, 2102io Thiopental: 2103iv, 2103io
vorbehandelt mit Narkotika (sämtliche Applikationsformen): 2197xx
sonstiges Narkotikum: 2198iv, 2198io, 2198im, 2198sc, 2198nl, 2198ih, 2198po, 2198sl, 2198rl, 2198td";DM;;T;
;"Psychopharmaka
Haloperidol: 2201iv, 2201io, 2201im Promethazin: 2202iv, 2202io, 2202im
vorbehandelt mit Psychopharmaka (sämtliche Applikationsformen): 2297xx
sonstige Psychopharmaka: 2298iv, 2298io, 2298im, 2298sc, 2298nl, 2298ih, 2298po, 2298sl, 2298rl, 2298td";DM;;T;
;"Antikoagulanzien
UF Heparin: 2301iv, 2301io, 2301sc NM Heparin: 2302sc
vorbehandelt mit Antikoagluanzien (sämtliche Applikationsformen): 2397xx sonstige Antikoagulanzien: 2398iv, 2398io, 2398im, 2398sc, 2398po";DM;;T;
;"TZ-Aggregationshemmer Acetylsalicylsäure: 2401iv, 2401io, 2401po Clopidogrel o.a.: 2402iv, 2402io, 2402po
vorbehandelt mitTZ-Aggregationshemmern (sämtliche Applikationsformen): 2497xx sonstige TZ-Aggregationshemmer: 2498iv, 2498io, 2498im, 2498sc, 2498po, 2498sl";DM;;T;
;"Thrombolytika
Tenecteplase: 2601iv, 2601io Alteplase: 2602iv, 2602io Reteplase: 2603iv, 2603io
vorbehandelt mit sonstigen Thrombolytika (sämtliche Applikationsformen): 2697xx sonstiges Thrombolytikum: 2698iv, 2698io, 2698im, 2698sc";DM;;T;
;"Sonstige Medikamente
Glukose: 2501iv, 2501io, 2501po
H1 Blocker (z.B. Dimetinden): 2502iv, 2502io, 2502po H2 Blocker (z.B. Ranitidin): 2503iv, 2503io, 2503po Butylscopolamin: 2504iv, 2504io, 2504po
Antibiotikum (z. B. Ceftriaxon): 2505iv, 2505io, 2505po Biperiden: 2506iv, 2506io, 2506po
Oxytocin: 2507iv, 2507io, 2507nl
Fenoterol (als Tokolytikum): 2508iv, 2508io, 2508ih Kaliumchlorid: 2509iv, 2509io, 2509po Calciumgluconat: 2510iv, 2510io 2510td Magnesiumsulfat: 2511iv, 2511io
Insulin: 2512iv, 2512io, 2512sc Tranexamsäure: 2513iv, 2513io, 2513nl Natriumhydrogencarbonat: 2514iv, 2514io Erythrozytenkonzentrat: 2515iv, 2515io FFP: 2516iv, 2516io
PPSB: 2517iv, 2517io
Fibronogen: 2518iv, 2518io Lyoplasma: 2519iv, 2519io Thiamin: 2520iv, 2520io Simethicon: 2521po
abschwellende Nasentropfen (z.B. Xylometazolin): 2522nl
vorbehandelt mit sonstigen Medikamenten (sämtliche Applikationsformen): 2597xx
sonstige Medikamente: 2598iv, 2598io, 2598im, 2598sc, 2598nl, 2598ih, 2598po, 2598sl, 2598rl, 2598td kein Medikament: 999999";DM;;T;
Infusionsgabe;"Kristalloide Infusionen
Isotone Kochsalzlösung.: 3001iv, 3001io, 3001sc Vollelektrolytlösung: 3002iv, 3002io, 3002sc
vorbehandelt mit Kristalloid (sämtliche Applikationsformen): 3097xx sonstiges Kristalloid: 3098iv, 3098io, 3098sc";DM;;T;"Infusionsgabe über Kombinationscodes (z. B. 3001io) im mind-medikamentengabe-cs; MindInfusionsgabeVS definiert. Noch kein Profil."
;"Spezielle Infusionen
HÄS: 3101iv, 3101io
SVR/Hyperosmol. NaCl: 3102 iv, 3102io Gelatine: 3103iv, 3103io
vorbehandelt mit Kolloid (sämtliche Applikationsformen): 3197xx sonstige: 3198iv, 3198io, 3198 sc";DM;;T;
;sonstige Angaben keine Infusion: 999999;DM;;T;
NeurologischeAuffaelligkeiten2;"Akute neurologische Auffälligkeiten (ZNS, PNS)
-1 = nicht untersucht 00 = keine
01 = Gesichtslähmung (kein Lächeln/hängender Mundwinkel) F
02 = Motorik Arme (einseitiges Absinken <10s/kein Anheben/keine Bewegung) A 03 = Motorik Beine (einseitiges Absinken <5s/kein Anheben/keine Bewegung)  04 = Sehstörung/Doppelbilder
05 = Sprachstörung (Aphasie)/Sprechstörung (Dysarthrie) S 06 = Schluckstörung
07 = Sensibilitätsstörung
08 = Gangunsicherheit/Schwindel
09 = Herdblick
10 = Übelkeit/Erbrechen
11 = Kopfschmerzen
12 = Meningismus
13 = Babinski Zeichen
14 = Querschnittsymptomatik
96 = gegenüber Erstbefund keine Änderungen
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-neurologische-auffaelligkeit-cs (Abschlussbefunde). Noch kein Observation-Profil.
SoSiTransport;"Sondersignal bei Transport: 01 = Ja
02 = Nein";DM;;;
OrtPatUeberg;"Ort Patienten-Übergabe 01 = ZNA/INA/PINA
02 = INZ/KINZ
03 = Schockraum
04 = Intensivstation
05 = Allgemeinstation
06 = Herzkatheterlabor (HKL) 07 = Stroke Unit
08 = CT
09 = OP direkt
10 = Fachambulanz
11 = Chest Pain Unit (CPU)
12 = Kreisssaal
13 = Arztpraxis
14 = Notfall-/Bereitschaftspraxis
15 = Einsatzstelle
98 = Sonstige";DM;;T;Terminologie definiert: mind-ort-patientenuebergabe-cs und MindOrtPatientenuebergabeVS. Noch kein Profil.
NummerZK;"Kennung der Zielklinik:
000001001 bis 000009990 = ID aus Krankenhausverzeichnis (Transportziele) für die Datenlieferung an die SQR-BW 770000000 bis 779999999 = Standortnummer
000009998 = sonstige Zielklinik
000009999 = anderes Transportziel (z.B. Arztpraxis)";DM;;;Nicht umgesetzt. Modellierungsvorschlag: Organization (Zielklinik) bzw. Encounter.hospitalization.destination.
AnmeldungPatient;"Patient in Zielklinik angemeldet 01 = Ja
02 = Nein";DM;;;
Einsatzbesonderheiten;"Einsatzbesonderheiten 00 = keine
01 = nächste geeignete Klink nicht aufnahmebereit 02 = Pat. lehnt indizierte Maßnahmen ab
03 = bewusster Therapieverzicht
04 = indizierte Maßnahme aufgrund Kontraindikation nicht durchgeführt 05 = Infektionstransport (mit Desinfektionsmaßnahmen)
06 = aufwendiger Infektionstransport - über die reguläre Ausstattung hinausgehende Infektionsschutzmaßnahmen/-ausrüstung erforderlich
07 = Schwerlasttransport
08 = Zwangsunterbringung
09 = aufwendige technische Rettung
10 = Einsatz mit LNA/OrgL
11 = mehrere Patienten
12 = MANV
13 = kein Notarzt in angemessener Zeit verfügbar
14 = erschwerter Patientenzugang
15 = verzögerte Patientenübergabe
16 = Gewalt gegen Einsatzkräfte
17 = Wahl der Zielklinik durch Dritte (z.B. HA, Klinikarzt,...)
18 = Wahl der Zielklinik verursacht durch Patientenwunsch
19 = Einsatzabbruch (dieses Einsatzes) wegen Folgeeinsatz
20 = dieser Einsatz ist ein Folgeeinsatz 98 = Sonstige";DM;;T;Terminologie definiert: mind-einsatzbesonderheit-cs und MindEinsatzbesonderheitVS. Noch kein Profil.
PreEmergencyStatus;"Zustand vor Eintritt des Notfalls 01 = ohne Vorerkrankungen (VE)
02 = VE ohne nennenswerte Einschränkung des tgl. Lebens 03 = VE mit nennenswerter Einschränkung des tgl. Lebens 04 = normales tgl. Leben unmöglich
05 = Pat. wird in den nächsten 24 Std. sterben, mit und ohne medizinische/-r Hilfe 99 = nicht bekannt";DM;;T;Terminologie definiert: mind-pre-emergency-status-cs und MindPreEmergencyStatusVS. Noch kein Profil.
Reanimationssituation;"Lag eine Reanimationssituation vor / wurde von der Rettungsmittelbesatzung eine Reanimation begonnen? 00 = keine Reanimationssituation (kein Tod/kein Kreislaufstillstand)
01 = Reanimation durchgeführt durch dokumentierendes Rettungsmittel
02 = Reanimation durchgeführt und aufgrund nachträglicher Erkenntnis über fehlendes Therapieziel eingestellt
03 = Reanimation durchgeführt und aufgrund nachträglicher Erkenntnis über mutmaßlichen Patientenwillen eingestellt 04 = Reanimation durch Andere durchgeführt mit fortbestehendem ROSC bei eigenem Eintreffen
05 = Reanimation nicht durchgeführt, weil sichere Todeszeichen
06 = Reanimation nicht durchgeführt, aufgrund mutmaßlichen Patientenwillens (z.B. DNR-Order) 07 = Reanimation nicht durchgeführt, weil aussichtslose Grunderkrankung bekannt
08 = Reanimation nicht durchgeführt, wegen aussichtsloser sonstiger Faktoren (z.B. Zeit überschritten)";DM;;T;Terminologie definiert: mind-reanimationssituation-cs und MindReanimationssituationVS. Noch kein Profil.
Reanimationstechnik;"Reanimationstechnik
-1 = keine
01 = Einsatz eines public access AED 02 = Einsatz eines feedback-Systems
03 = Mechanisches Thoraxkompressionsgerät 04 = extrakorporale CPR (eCPR)";DM;;T;Terminologie definiert: mind-reanimationstechnik-cs und MindReanimationstechnikVS. Noch kein Profil.
URKRSTST;"Vermutete Ursache des Kreislaufstillstandes 01 = kardial
02 = Trauma
03 = Ertrinken
04 = Hypoxie
05 = Intoxikation
06 = ICB/SAB
07 = SIDS
08 = Verbluten
09 = Stroke
10 = metabolisch
11 = Sepsis
12 = Anaphylaxie
13 = Stromschlag
97 = sonstiges nicht medizinisch
98 = sonstiges medizinisch
99 = nicht bekannt";DM;;T;Terminologie definiert: mind-kreislaufstillstandursache-cs und MindKreislaufstillstandursacheVS. Noch kein Profil.
SPORT;"Zusammenhang mit sportlicher Aktivität:
01 = Ja
02 = Nein";DM;;;
ZCKB;"Kollaps beobachtet durch
-1 = nicht beobachtet 01 = Ersthelfende
02 = aktivierte Ersthelfende (z.B. App-Ersthelfende) 03 = First Responder
04 = KTW-Besatzung
05 = RTW-Besatzung
06 = NA-Rettungsmittel
98 = Sonstige
99 = nicht bekannt";DM;;T;Terminologie definiert: mind-kollaps-beobachtet-durch-cs und MindKollapsBeobachtetDurchVS. Noch kein Profil.
ZCHDM;"Beginn der Herzdruckmassage durch
-1 = keine Herzdruckmassage durchgeführt 01 = Ersthelfende
02 = aktivierte Ersthelfende (z.B. App-Ersthelfende) 03 = First Responder
04 = KTW-Besatzung
05 = RTW-Besatzung
06 = NA-Rettungsmittel
98 = Sonstige
99 = nicht bekannt";DM;;T;Terminologie definiert: mind-herzdruckmassage-durch-cs und MindHerzdruckmassageDurchVS. Noch kein Profil.
ZCDEFI;"Erste Defibrillation durch
-1 = keine Defibrillation durchgeführt 01 = Ersthelfende
02 = aktivierte Ersthelfende (z.B. App-Ersthelfende) 03 = First Responder
04 = KTW-Besatzung
05 = RTW-Besatzung
06 = NA-Rettungsmittel
98 = Sonstige
99 = nicht bekannt";DM;;T;Terminologie definiert: mind-erste-defibrillation-durch-cs und MindErsteDefibrillationDurchVS. Noch kein Profil.
ROSC;"Erreichen eines Spontankreislaufs (ROSC) 01 = niemals ROSC
02 = jemals ROSC";DM;;T;Terminologie definiert: mind-rosc-cs und MindRoscVS. Noch kein Profil.
KHAUF;"Patientenzustand bei Krankenhausaufnahme
01 = keine Krankenhausaufnahme, Tod an der Einsatzstelle 02 = Krankenhausaufnahme mit ROSC
03 = Krankenhausaufnahme unter laufender Reanimation";DM;;T;Terminologie definiert: mind-krankenhausaufnahme-zustand-cs und MindKrankenhausaufnahmeZustandVS. Noch kein Profil.
FehleinsatzGrund;"Fehleinsatz
-1 = kein Fehleinsatz 01 = kein Patient
02 = Pat. bereits abtransportiert 03 = abbestellt
04 = böswillige Alarmierung
05 = Einsatzabbruch technisch 06 = Einsatzabbruch Wetter 99 = Einsatzabbruch Sonstige";M;;;"Nur DIVI (Zugehörigkeit M); nicht umgesetzt."
Versorgungssituation;"Versorgungssituation
-1 = nicht bekannt 01 = unabhängig
02 = Pflege zuhause
03 = Pflege in Institution";M;;;Nicht umgesetzt.
AntikoagulanzienVorEreignis;"Antikoagulanzien vor dem Notfallereignis
-1 = nicht bekannt
01 = TZ-Aggregationshemmer 02 = Vit.K Antagonist
03 = Heparin(oide)
04 = DOAK Thrombinhemmer 05 = DOAK Xa-Hemmer
99 = Sonstige bzw. unklar welche";M;;;Nicht umgesetzt.
Ersthelfermassnahmen;"Ersthelfermaßnahmen
-1 = nicht bekannt 01 = suffizient
02 = insuffizient
03 = Keine";M;;;Nicht umgesetzt.
VitalProblem;"Vitale Probleme nach ABCDE
-1 = nicht erfasst 01 = A
02 = B
03 = C
04 = D
05 = E";M;;;Nicht umgesetzt.
GCSAugenOeffnen1;"Augen öffnen
-1 = nicht untersucht 00 = nicht vorhanden 01 = auf Druck
02 = auf Geräusch 03 = Spontan
99 = nicht beurteilbar";M;;;
GCSVerbaleReaktion1;"Beste verbale Reaktion
-1 = nicht untersucht 00 = keine
01 = Laute
02 = Wörter
03 = Koversationsfähig  verwirrt 04 = Koversationsfähig orientiert 99 = nicht beurteilbar";M;;;
GCSMotorischArmRechts1;"Beste motorische Reaktion
-1 = nicht untersucht 00 = keine
01 = Streckt
02 = Beugt abnormal 03 = Beugt normal 04 = lokalisiert
05 = folgt Aufforderung
99 = nicht beurteilbar";M;;;
GCSMotorischArmLinks1;"Beste motorische Reaktion
-1 = nicht untersucht 00 = keine
01 = Streckt
02 = Beugt abnormal 03 = Beugt normal 04 = lokalisiert
05 = folgt Aufforderung
99 = nicht beurteilbar";M;;;
GCSMotorischBeinRechts1;"Beste motorische Reaktion
-1 = nicht untersucht 00 = keine
01 = Streckt
02 = Beugt abnormal 03 = Beugt normal 04 = lokalisiert
05 = folgt Aufforderung
99 = nicht beurteilbar";M;;;
GCSMotorischBeinLinks1;"Beste motorische Reaktion
-1 = nicht untersucht 00 = keine
01 = Streckt
02 = Beugt abnormal 03 = Beugt normal 04 = lokalisiert
05 = folgt Aufforderung
99 = nicht beurteilbar";M;;;
ExtremitaetenbewegungArmRechts1;"Extremitätenbewegung
-1 = nicht untersucht 00 = keine Bewegung 01 = kein Anheben
02 = einseitiges Absinken
99 = nicht beurteilbar";M;;;
ExtremitaetenbewegungArmLinks1;"Extremitätenbewegung
-1 = nicht untersucht 00 = keine Bewegung 01 = kein Anheben
02 = einseitiges Absinken
99 = nicht beurteilbar";M;;;
ExtremitaetenbewegungBeinRechts1;"Extremitätenbewegung
-1 = nicht untersucht 00 = keine Bewegung 01 = kein Anheben
02 = einseitiges Absinken
99 = nicht beurteilbar";M;;;
ExtremitaetenbewegungBeinLinks1;"Extremitätenbewegung
-1 = nicht untersucht 00 = keine Bewegung 01 = kein Anheben
02 = einseitiges Absinken
99 = nicht beurteilbar";M;;;
PupillenweiteRechts1;"Pupillenweite rechts
-1 = nicht untersucht 00 = keine
01 = eng
02 = mittel
03 = weit
04 = entrundet
99 = nicht beurteilbar";M;;;
PupillenweiteLinks1;"Pupillenweite links
-1 = nicht untersucht 00 = keine
01 = eng
02 = mittel
03 = weit
04 = entrundet
99 = nicht beurteilbar";M;;;
LichtreaktionRechts1;"Lichtreaktion rechts
-1 = nicht untersucht 00 = keine
01 = träge
02 = prompt
99 = nicht beurteilbar";M;;;
LichtreaktionLinks1;"Lichtreaktion links
-1 = nicht untersucht 00 = keine
01 = träge
02 = prompt
99 = nicht beurteilbar";M;;;
DiastolischerBlutdruck1;"Diastolischer Blutdruck Messwert in mmHg Wertebereich = 0 - 250
-1 = nicht gemessen
999 = nicht messbar";M;;;
qSOFA;"qSOFA-Score
Wertebereich = 00 bis 03
99 = nicht errechenbar";M;;;
NEWS2Score;"NEWS2-Score
Wertebereich = 00 bis 20
99 = nicht errechenbar";M;;;
Penetrierend;"Penetrierende Verletzung
-1 = nicht untersucht 00 = keine
01 = Kopf, Gesicht, Hals 02 = Thorax
03 = Abdomen
99 = nicht beurteilbar";M;;;
Instabil;"Instabile Verletzung
-1 = nicht untersucht 00 = keine
01 = Thorax
02 = Becken
99 = nicht beurteilbar";M;;;
SensomotorDefizit;"Sensomotorisches Defizit
-1 = nicht untersucht 00 = keine
01 = HWS
02 = BWS, LWS
99 = nicht beurteilbar";M;;;
Amputation;"Amputation
-1 = nicht untersucht 00 = keine
01 = Arm
02 = Bein
99 = nicht beurteilbar";M;;;
Unfallhergang2;"Unfallart
01 = Fraktur von > 2 gr. Röhrenknochen 02 = Verätzung
03 = Einklemmung
04 = Inhalationstrauma
05 = Elektrounfall
06 = (Beinahe-)Ertrinken
07 = Tauchunfall
08 = Hochrasanztrauma";M;;;
Airway2;"Airway Maßnahmen2
-1 = keine Maßnahmen durchgeführt
01 = mechanisches Freimachen/Freihalten der Atemwege 02 = Absaugen
03 = Präoxygenieren
04 = Wendl-Tubus
05 = Guedel-Tubus
06 = Larynxmaske
07 = Larynxtubus
08 = Endotracheale Intubation oral 09 = Endotracheale Intubation nasal 98 = Sonstige";M;;;
CirculationZugang2;"Circulation Zugang2
-1 = keine Maßnahmen durchgeführt 01 = PVK vorhanden
02 = ZVK vorhanden 03 = IO vorhanden
04 = Transnasal-Applikator";M;;;
ZugangArt;"Zugang Art 01 = PVK
02 = ZVK
03 = intraossär
04 = arteriell
98 = Sonstige";M;;;
ZugangOrt;"Zugang Ort
01 = Handrücken
02 = Unterarm
03 = Ellenbeuge
04 = Oberarm
05 = Hals
06 = Kopf
07 = Bein
08 = Fuss
09= V. basilica/cephalica
10 = V. subclavia
11 = V. jugularis int.
12 = V. jugularis ext.
13 = V. femoralis
14 = Tibia proximal
15 = Tibia distal
16 = Humerus proximal
17 = Sternum
18 = A. radialis
19 = A. femoralis 98 = Sonstige";M;;;
ZugangSeite;"Zugang Seite 01 = links
02 = rechts
03 = keine Seite 97 = unbekannt";M;;;
ZugangGroesse;"Zugang Größe 01 = 24G
02 = 22G
03 = 20G
04 = 18G
05 = 18G kurz 06 = 17G
07 = 16G
08 = 14G
09= 15mm
10 = 25mm
11 = 45mm
98 = Sonstige";M;;;
ZugangErschwert;"Zugang erschwert
01 = Zugang erschwert 02 = mehr als 2 Versuche
03 = unmöglich - Verfahrenswechsel";M;;;
Beatmung;"Beatmung
-1 = keine Maßnahmen durchgeführt 01 = Manuell
02 = Maschinell kontrolliert
03 = Maschinell assistiert 04 = NIV";M;;;
DefiArtGeraet;"Defi Geräteart
01 = Defibrillation
02 = Kardioversion
03 = Defi
04 = AED
05 = publicAED";M;;;
DefiSchockEnergie;"Defischock Energie Wertebereich
gültiger Wertebereich = 10 bis 500 Joule";M;;;
MassnahmenWeitere;"weitere Massnahmen 01 = Impella
02 = IABP
03 = ECMO
04 = Thoraxdrainage rechts 05 = Thoraxdrainage links
06 = Entlastungspunktion rechts 07 = Entlastungspunktion links 08 = Thorakotomie
09 = Thoraxverschlusspflaster
10 = Magensonde
11 = Blasenkatheter
12 = besondere Hygienemaßnahmen";M;;;
Lysetherapie;"Ersthelfermaßnahmen
-1 = keine Lyse
01 = Lyse vor Kreislaufstillstand
02 = Lyse während Kreislaufstillstand 03 = Lyse nach ROSC
99 = Lysezeitpunkt nicht bekannt";M;;;
NeurologieVerlauf;"Neurologie Verlauf
-1 = nicht untersucht 01 = unverändert
02 = neu erhoben";M;;T;Terminologie definiert: mind-neurologische-auffaelligkeit-verlauf-cs und MindNeurologischeAuffaelligkeitVerlaufVS. Noch kein Profil.
AnmeldungWo;"Anmeldung wo
-1 = keine Anmeldung 01 = Stroke Unit
02 = Herzkatheter
03 = Traumazentrum
04 = Schockraum
99 = Sonstige benötigte Ressource";M;;;
